Airline,Flight_Distance,Departure_Delay,Arrival_Delay
SpiceJet,716,28.06,26.92
GoAir,1718,0.0,23.82
IndiGo,285,19.79,15.37
SpiceJet,1398,16.71,34.17
Vistara,2558,0.0,15.98
SpiceJet,1342,41.46,30.82
Air India,2674,20.08,28.88
SpiceJet,2193,7.88,3.42
Air India,2361,4.05,43.09
SpiceJet,502,18.49,0.0
Air India,2991,25.2,32.73
IndiGo,787,11.88,0.0
GoAir,1186,0.0,1.62
Vistara,2063,15.42,14.51
SpiceJet,544,0.0,27.61
GoAir,1013,9.76,1.45
Vistara,2187,0.0,24.62
Vistara,1510,0.0,0.0
Air India,2199,45.88,57.31
IndiGo,1877,7.0,2.78
IndiGo,1527,5.08,9.66
GoAir,1292,27.06,18.9
IndiGo,2608,5.74,28.25
SpiceJet,1209,67.6,68.63
IndiGo,903,8.17,17.37
GoAir,774,24.13,4.61
IndiGo,1808,39.27,21.77
SpiceJet,1312,55.06,28.11
Air India,887,0.0,0.0
GoAir,2832,4.55,27.11
Air India,2836,46.86,32.89
Air India,688,35.25,24.6
Air India,1547,41.88,56.76
Vistara,693,0.0,0.0
Vistara,1867,53.7,29.98
Air India,1837,0.0,1.63
GoAir,218,19.81,1.88
SpiceJet,2644,11.29,18.07
SpiceJet,1200,0.0,0.0
IndiGo,1050,0.0,0.0
GoAir,1588,0.0,0.0
Vistara,1554,17.98,15.99
Air India,1567,0.0,6.25
IndiGo,1021,0.0,0.0
SpiceJet,654,9.55,6.3
Vistara,1824,0.0,3.78
Vistara,2972,34.47,26.4
Air India,910,0.0,5.47
SpiceJet,2390,13.07,4.0
GoAir,1116,15.38,30.83
Vistara,2852,28.45,26.37
Air India,1696,13.96,7.21
GoAir,1640,65.45,55.98
SpiceJet,504,20.41,18.17
Vistara,935,41.34,7.93
GoAir,2538,0.0,10.11
GoAir,2163,18.02,2.32
GoAir,2349,53.69,56.6
Vistara,2209,9.06,7.71
Vistara,1161,19.81,30.57
IndiGo,1226,39.52,23.21
SpiceJet,2332,0.0,6.05
Air India,2575,0.0,23.15
GoAir,1673,21.39,15.94
IndiGo,2701,39.72,23.94
Air India,2147,0.0,14.83
IndiGo,2876,31.76,36.76
Vistara,1377,31.92,19.12
GoAir,864,0.0,0.0
Air India,211,0.0,0.0
Air India,1356,5.1,18.73
Air India,503,10.51,0.73
Air India,1963,0.0,4.84
Air India,242,0.0,0.0
IndiGo,1143,56.79,15.77
GoAir,2590,12.31,3.49
Vistara,1549,0.0,15.1
Vistara,2745,13.97,0.0
Vistara,2611,28.43,28.68
Vistara,1090,16.29,0.0
IndiGo,2674,9.86,21.03
SpiceJet,1204,0.0,15.71
GoAir,220,0.0,2.42
Air India,606,0.05,2.49
SpiceJet,2866,23.47,9.33
Vistara,1214,0.0,0.0
SpiceJet,535,24.83,47.85
GoAir,2038,50.32,27.25
Air India,1347,23.14,44.72
Air India,2646,5.76,0.0
GoAir,2027,0.0,12.88
GoAir,914,54.45,26.05
Vistara,250,0.0,12.85
Air India,523,36.21,25.47
SpiceJet,988,30.96,21.99
IndiGo,340,9.08,20.51
IndiGo,669,8.43,3.86
GoAir,986,0.0,0.0
Vistara,2025,23.25,32.7
IndiGo,1557,30.5,9.16
Air India,2116,0.0,12.75
GoAir,1163,11.1,27.37
SpiceJet,572,15.95,10.53
GoAir,2741,29.61,43.47
SpiceJet,1892,15.1,22.79
GoAir,2998,0.0,0.0
GoAir,1379,1.75,27.25
GoAir,2538,20.62,2.31
SpiceJet,1871,36.04,24.58
SpiceJet,305,0.0,1.91
GoAir,1643,69.69,62.86
IndiGo,2917,0.0,21.73
Vistara,1881,0.91,21.43
Vistara,201,12.92,17.4
Vistara,2836,9.98,7.78
SpiceJet,2891,0.0,0.0
SpiceJet,2337,26.2,3.63
IndiGo,549,24.28,48.49
Vistara,1486,16.2,0.0
Vistara,1262,23.3,9.54
GoAir,2406,4.41,25.25
SpiceJet,2559,0.0,8.15
Vistara,644,0.0,18.92
IndiGo,2545,18.93,26.39
IndiGo,1151,19.07,40.39
Vistara,235,16.03,20.66
SpiceJet,1307,28.72,35.05
IndiGo,1675,0.47,0.0
GoAir,1998,15.67,24.76
IndiGo,2045,29.3,19.57
Air India,1608,12.88,7.22
Air India,1395,0.0,18.42
SpiceJet,1599,0.0,18.52
Vistara,1908,35.77,55.37
